borough,offense_description,median_lag_minutes,complaint_count
Staten Island,Assault 3 & Related Offenses,780,8280
Staten Island,Rape,49740,757
Staten Island,Robbery,228,1009
Staten Island,Possession Of Stolen Property,5040,383
Staten Island,Vehicle And Traffic Laws,201,399
Staten Island,Frauds,18000,3701
Staten Island,Grand Larceny Of Motor Vehicle,390,3819
Staten Island,Petit Larceny,2160,32403
Staten Island,Dangerous Drugs,45,1217
Staten Island,Administrative Code,2280,332
Staten Island,Offenses Against The Person,2160,241
Staten Island,Off. Agnst Pub Ord Sensblty &,3420,15428
Staten Island,Dangerous Weapons,55,614
Staten Island,Grand Larceny,6480,15080
Staten Island,Forgery,21030,558
Staten Island,Harrassment 2,1870,23083
Staten Island,Sex Crimes,19200,2574
