complaint_date,borough,total_complaints,high_severity_complaints,medium_severity_complaints,other_severity_complaints,weekend_complaints,total_complaints_ma7
2024-11-10,(Null),2,0,0,0,2,2.71
2023-01-24,(Null),2,0,0,0,0,2.14
2023-05-18,(Null),2,0,0,0,0,2.43
2023-06-16,(Null),2,0,0,0,0,2.86
2024-11-05,(Null),2,0,0,0,0,2.43
2023-01-09,(Null),2,0,0,0,0,2.43
2023-12-15,(Null),2,0,0,0,0,3.71
2023-01-19,(Null),2,0,0,0,0,2.57
2024-07-13,(Null),2,0,0,0,2,4.29
2023-03-11,(Null),2,0,0,0,2,2.86
2024-05-29,(Null),2,0,0,0,0,1.71
2023-10-10,(Null),2,0,0,0,0,3.14
2023-02-14,(Null),2,0,0,0,0,2.86
2024-07-28,(Null),2,0,0,0,2,3.29
2023-04-25,(Null),2,0,0,0,0,2.86
2023-01-31,(Null),2,0,0,0,0,2.86
2023-09-19,(Null),2,0,0,0,0,2.86
2023-03-01,(Null),2,0,0,0,0,2.29
2024-08-09,(Null),2,0,0,0,0,2.86
2024-09-13,(Null),2,0,0,0,0,4.86
2024-11-25,(Null),2,0,0,0,0,2.86
2024-05-10,(Null),2,0,0,0,0,2.57
2024-06-22,(Null),2,0,0,0,2,3.43
2023-02-17,(Null),2,0,0,0,0,2.71
2024-05-01,(Null),2,0,0,0,0,1.57
2023-05-20,(Null),2,0,0,0,2,2.29
2024-11-01,(Null),2,0,0,0,0,3.14
2022-12-26,(Null),2,0,0,0,0,2.57
2022-12-05,(Null),2,0,0,0,0,3.43
2024-12-08,(Null),2,0,0,0,2,6.14
2023-08-25,(Null),2,0,0,0,0,2.71
2024-09-17,(Null),2,0,0,0,0,3.57
2023-03-27,(Null),2,0,0,0,0,2.14
2023-05-24,(Null),2,0,0,0,0,2.0
2024-08-13,(Null),2,0,0,0,0,3.29
2023-07-08,(Null),2,0,0,0,2,3.86
2023-03-14,(Null),2,0,0,0,0,2.43
2024-08-07,(Null),2,0,0,0,0,2.86
2024-09-28,(Null),2,0,0,0,2,2.43
2023-03-19,(Null),2,0,0,0,2,2.71
2024-11-24,(Null),2,0,0,0,2,3.14
2023-06-13,(Null),2,0,0,0,0,1.86
2023-12-17,(Null),2,0,0,0,2,2.14
2023-10-30,(Null),2,0,0,0,0,2.86
2024-05-16,(Null),2,0,0,0,0,2.71
2023-03-20,(Null),2,0,0,0,0,2.86
